台泥乙特,1101B.TW,49.78,0.79,48.75,0.0207
大飲,1213.TW,7.97,0.64,7.08,0.1117
佳格,1227.TW,46.22,4.45,41.75,0.0967
台達化,1309.TW,27.85,4.83,22.9,0.1777
國喬特,1312A.TW,30.76,1.9,28.85,0.0621
恆大,1325.TW,41.67,17.88,23.6,0.4336
佳和,1449.TW,20.88,4.76,15.15,0.2744
聯發,1459.TW,10.78,2.04,8.62,0.2004
南緯,1467.TW,14.01,2.19,11.45,0.1827
如興,4414.TW,6.22,2.63,2.92,0.5305
力山,1515.TW,48.93,18.2,30.55,0.3756
伸興,1558.TW,133.6,10.97,122.0,0.0868
氣立,4555.TW,52.55,2.6,49.8,0.0523
強信-KY,4560.TW,39.82,0.81,38.85,0.0244
元翎,4564.TW,33.79,7.35,25.7,0.2394
台灣精銳,4583.TW,239.88,35.8,201.0,0.1621
長興,1717.TW,35.19,2.67,32.15,0.0864
花仙子,1730.TW,58.88,3.06,55.6,0.0557
日勝化,1735.TW,16.63,1.56,14.95,0.101
光麗-KY,6431.TW,27.53,5.03,20.2,0.2663
泰福-KY,6541.TW,53.1,11.14,37.0,0.3032
ABC-KY,6598.TW,36.77,8.14,28.1,0.2358
士紙,1903.TW,58.37,6.68,48.5,0.1691
三星,5007.TW,53.53,1.81,51.4,0.0398
鑫永銓,2114.TW,109.66,9.53,99.2,0.0954
廣華-KY,1338.TW,52.68,5.57,45.5,0.1363
和大,1536.TW,84.6,12.0,72.2,0.1466
六暉-KY,2115.TW,35.73,4.35,30.9,0.1352
裕日車,2227.TW,225.41,20.82,200.5,0.1105
統懋,2434.TW,34.6,4.98,27.7,0.1994
超豐,2441.TW,63.53,9.95,52.3,0.1768
晶豪科,3006.TW,108.7,30.89,77.0,0.2916
揚智,3041.TW,27.35,5.34,21.75,0.2048
立萬利,3054.TW,21.98,2.86,19.0,0.1356
聯鈞,3450.TW,47.81,7.32,40.4,0.155
誠創,3536.TW,5.57,1.34,4.14,0.2567
