台泥乙特	1101B.TW	49.78	0.79	48.7	0.0217
海悅甲特	2348A.TW	36.76	0.8	35.9	0.0234
強信-KY	4560.TW	39.82	0.81	38.75	0.0269
中鋼特	2002A.TW	47.77	1.29	46.45	0.0276
土銀國泰R1	01002T.TW	18.13	0.43	17.56	0.0314
山隆	2616.TW	33.19	1.61	31.55	0.0494
統領	2910.TW	32.11	1.75	30.35	0.0548
氣立	4555.TW	52.51	2.58	49.55	0.0564
台化	1326.TW	74.65	4.05	70.4	0.0569
三能-KY	6671.TW	42.24	2.63	39.6	0.0625
富邦入息REITs+	00908.TW	14.03	0.75	13.15	0.0627
元大台灣50反1	00632R.TW	5.67	0.36	5.29	0.067
國泰臺灣加權反1	00664R.TW	6.42	0.41	5.97	0.0701
群益臺灣加權反1	00686R.TW	3.82	0.24	3.55	0.0707
新光金甲特	2888A.TW	39.18	1.78	36.4	0.071
新光金乙特	2888B.TW	39.04	1.84	36.15	0.074
土銀富邦R2	01004T.TW	15.98	0.55	14.79	0.0745
國泰股利精選30	00701.TW	24.42	1.63	22.59	0.0749
長興	1717.TW	35.19	2.68	32.5	0.0764
兆豐國泰R2	01007T.TW	19.23	0.78	17.71	0.079
期元大美元指反1	00684R.TW	17.3	1.38	15.81	0.0861
三發地產	9946.TW	13.18	1.11	12.0	0.0895
國喬特	1312A.TW	30.76	1.9	28.0	0.0897
群益道瓊美國地產	00714.TW	21.0	1.48	19.07	0.0919
日勝化	1735.TW	16.62	1.57	15.05	0.0945
京城	2524.TW	35.78	2.58	32.4	0.0945
富邦上証+R	00625K.TW	7.99	0.73	7.23	0.0951
富邦日本反1	00641R.TW	10.21	0.42	9.21	0.0979
國泰網路資安	00875.TW	28.86	2.81	26.01	0.0988
群益深証中小	00643.TW	17.03	1.5	15.31	0.101
鑫永銓	2114.TW	109.68	9.5	98.5	0.1019
土銀富邦R1	01001T.TW	17.35	0.77	15.58	0.102
宏益	1452.TW	19.97	2.05	17.9	0.1037
大飲	1213.TW	7.97	0.64	7.1	0.1092
裕日車	2227.TW	225.23	20.92	200.5	0.1098
FH彭博新興債	00711B.TW	18.15	1.98	15.96	0.1207
立萬利	3054.TW	21.95	2.87	19.0	0.1344
新光投等債15+	00775B.TW	38.07	3.81	32.81	0.1382
聯上發	2537.TW	8.34	0.84	7.14	0.1439
台苯	1310.TW	16.59	2.59	14.0	0.1561
力銘	3593.TW	14.52	1.4	12.2	0.1598
美吉吉-KY	8466.TW	48.59	5.91	40.8	0.1603
怡華	1456.TW	18.22	2.63	15.25	0.163
晨訊科-DR	912000.TW	2.57	0.31	2.15	0.1634
士紙	1903.TW	58.37	6.7	48.7	0.1657
南緯	1467.TW	13.96	2.18	11.6	0.1691
華冠	8101.TW	7.25	1.0	6.0	0.1724
國泰北美科技	00770.TW	33.33	4.33	27.49	0.1752
達邁	3645.TW	42.48	7.6	34.65	0.1843
FH富時不動產	00712.TW	12.64	1.6	10.3	0.1851
亞太電	3682.TW	7.59	1.1	6.18	0.1858
寶徠	1805.TW	12.9	1.6	10.5	0.186
統懋	2434.TW	34.65	4.95	27.95	0.1934
聯發	1459.TW	10.79	2.03	8.69	0.1946
柏承	6141.TW	24.83	4.03	19.7	0.2066
松翰	5471.TW	70.2	14.05	55.5	0.2094
光鋐	4956.TW	20.59	4.43	16.1	0.2181
中再保	2851.TW	23.93	3.74	18.4	0.2311
太空梭	2440.TW	15.34	3.34	11.75	0.234
永固-KY	5546.TW	55.22	6.89	42.1	0.2376
巨大	9921.TW	266.32	41.9	203.0	0.2378
美隆電	2477.TW	28.41	5.78	21.65	0.2379
元翎	4564.TW	33.73	7.38	25.65	0.2395
富邦基因免疫生技	00897.TW	10.41	2.0	7.9	0.2411
誠創	3536.TW	5.56	1.35	4.21	0.2428
富邦越南	00885.TW	15.0	2.13	11.23	0.2513
光麗-KY	6431.TW	27.4	5.02	20.5	0.2518
期元大S&P日圓正2	00706L.TW	12.91	2.75	9.57	0.2587
上曜	1316.TW	16.33	4.09	12.1	0.259
銘旺科	2429.TW	15.17	3.24	11.0	0.2749
美利達	9914.TW	251.57	48.03	181.5	0.2785
明輝-DR	911608.TW	3.3	0.61	2.36	0.2848
云辰	2390.TW	18.3	4.15	13.05	0.2869
達能	3686.TW	21.36	4.9	15.1	0.2931
泰福-KY	6541.TW	158.74	33.48	111.52	0.2975
富邦NASDAQ正2	00670L.TW	85.14	24.01	59.55	0.3006
鴻碩	3092.TW	53.92	12.82	37.5	0.3045
三商壽	2867.TW	7.86	1.5	5.38	0.3155
昶昕	8438.TW	37.3	10.07	25.4	0.319
正達	3149.TW	27.82	8.69	18.8	0.3242
采鈺	6789.TW	380.62	108.54	255.0	0.33
吉祥全	2491.TW	18.54	5.65	12.25	0.3393
力積電	6770.TW	51.47	14.22	33.95	0.3404
天瀚	6225.TW	19.14	5.23	12.25	0.36
聯德控股-KY	4912.TW	124.0	32.0	77.9	0.3718
力山	1515.TW	48.61	18.15	30.1	0.3808
元大美債20正2	00680L.TW	19.02	5.45	11.23	0.4096
國泰20年美債正2	00688L.TW	18.94	5.48	11.16	0.4108
同泰	3321.TW	11.68	2.07	6.66	0.4298
同開	3018.TW	14.15	4.21	7.38	0.4784
如興	4414.TW	6.17	2.63	2.92	0.5267
